Id,poisonous
5165,0.7897194656625574
4281,1.0
231,0.0
3890,0.0
1521,1.0
5874,0.0
1847,0.0
1023,0.0
3561,1.0
6885,1.0
5170,0.0
5224,0.5645413546017868
589,0.0
5337,1.0
1107,1.0
6452,1.0
2640,1.0
3035,0.9447861477298914
3339,0.0
4465,0.906653965679749
5915,0.0
5046,0.0
7859,0.0
7855,1.0
6503,0.9447861477298914
497,1.0
5325,0.0
6535,0.0
3927,0.0
1573,1.0
1975,1.0
3982,0.0
6580,0.0
8051,1.0
4567,0.0
5109,0.0
7208,0.5894284333248407
7109,0.0
1253,1.0
6520,0.2503951252504695
7497,0.0
3522,1.0
7559,1.0
3104,0.5010907677299593
6305,1.0
3066,1.0
4749,1.0
754,0.0
1941,0.0
2940,0.0
366,1.0
2625,0.0
1189,0.0
6046,1.0
1299,0.9447861477298914
2667,1.0
6984,0.24316400341674518
3300,0.0
1829,0.0
7794,0.0
4027,0.0
2806,0.0
866,0.0
7117,0.5894284333248407
4787,1.0
8091,0.0
20,1.0
1353,0.0
2215,0.7400893863554685
5742,0.0
6560,0.0
3844,1.0
1070,0.4996803538780839
7433,0.0
7990,1.0
5475,1.0
5366,0.0
915,0.0
3138,0.0
5035,0.0
1382,1.0
1571,0.0
7757,0.0
3361,0.0
7044,1.0
6005,0.0
2230,0.0
5373,0.7897194656625574
5303,0.0
3193,0.0
6766,0.0
6484,0.0
6516,1.0
7603,0.5894284333248407
4874,0.24316400341674518
2417,0.0
6146,0.0
7110,0.0
4066,0.0
3885,0.0
3472,0.0
1566,1.0
5181,0.0
1398,0.6972572840795727
3881,1.0
8040,0.0
7513,1.0
7641,1.0
375,1.0
5027,1.0
3717,1.0
4556,1.0
2219,0.0
5744,0.0
6842,0.0
6621,0.0
6982,1.0
406,1.0
5535,1.0
6906,1.0
5869,1.0
5473,1.0
2145,1.0
417,1.0
6894,0.0
6801,0.0
5237,1.0
5412,0.0
583,1.0
8104,0.0
2003,0.5010907677299593
3191,0.30585495060495055
2192,0.5645413546017868
633,0.0
3251,1.0
2830,1.0
142,1.0
3806,0.0
6663,0.0
1329,0.0
1456,1.0
7887,0.2503951252504695
5,0.0
2493,1.0
234,1.0
723,1.0
5856,1.0
5433,0.0
3812,0.0
1599,1.0
1842,1.0
3437,0.0
2134,0.0
1550,0.0
1944,1.0
2350,0.0
6310,1.0
531,1.0
7496,0.0
7243,0.0
1653,1.0
3540,0.2503951252504695
3769,0.0
532,0.0
291,0.0
2345,0.0
51,0.0
2378,0.6972572840795727
7706,0.0
2446,0.0
4906,0.0
1029,0.0
720,1.0
1820,0.2503951252504695
7846,0.0
1150,0.0
3425,0.0
1060,1.0
850,0.0
4492,0.0
5323,0.0
2888,0.0
1457,0.0
3057,1.0
482,0.0
89,0.0
7466,0.5010907677299593
7477,1.0
6464,1.0
1693,0.0
7974,0.0
1669,0.0
38,1.0
277,1.0
7798,0.0
7818,0.0
7069,0.0
2138,1.0
495,1.0
276,0.0
8036,1.0
4268,0.0
421,0.0
1983,1.0
6123,0.0
6471,0.0
7350,0.0
5621,1.0
6494,0.0
7330,0.0
4704,1.0
72,1.0
958,0.0
4003,1.0
